uuid,mtgo,mtgoFoil,paper,paperFoil
009f67df-bbfa-546c-bca6-052878a2ec07,0.0,0.0,0.9352631578947372,0.0
009f7381-95a1-5080-b0e0-8f87e46f1e68,0.04,0.02,0.04,0.16
00a018aa-702a-5fcd-94bf-a562f22fe3cd,0.03,0.02,0.17,1.01
00a42434-4df3-5acc-8ebc-782a172a2d7b,0.0,0.0,0.08,0.0
00a4b301-7d93-54b4-b9e7-94127faa4737,0.0,0.0,0.23,0.0
00a6efa0-ea60-5eb5-89e0-b8acc027021a,0.03,0.01,0.1,0.15
00a722ec-bda2-55da-aa25-add594d6fdea,0.0,0.0,0.06,0.0
00ab3391-5f0e-5aac-bb87-02ca645ecddf,0.0,0.0,3.68,0.0
00abb9ae-bcb2-5b41-a465-23d4c914d15d,0.0,0.0,2.01,0.0
00abc47e-421b-5cb9-bdcd-3c4b64e05e11,0.0,0.0,0.0,0.0
00adb245-cae8-52e7-9704-05b9690583e2,0.0,0.0,0.0,0.0
00afe8bd-8548-521f-9113-8c11b976a8c5,0.0,0.0,0.0,0.0
00b02bfc-9e41-554b-bfad-9be1ac0f0bdb,0.03,0.01,0.11,1.12
00b04ca1-2b74-55b6-aa0e-1f2794ecc3f6,0.0,0.0,0.18,0.0
00b46211-0230-527b-b155-96123d5088fe,0.0,0.0,0.0,0.0
00b50c67-578d-5a52-80ab-ca7325a412f4,0.01,0.03,0.25,19.95
00b8074d-ed7d-58fa-ba0b-b5095fd16dcd,0.06,0.09,0.30000000000000004,3.23
00ba238f-5d3e-5bf1-a410-c0afd1be8dba,0.03,0.01,0.07,0.13
00bad095-b804-50b5-afce-89f7c831568e,0.0,0.0,0.0,0.0
00bbb746-93c1-559f-8b2d-cf5cf720596e,0.0,0.0,0.1452631578947368,0.0
00beebc6-e401-5b21-b3b6-1098c7cb204e,0.03,0.01,0.07,0.1
00c0f6e6-597b-5992-8d7c-c68d5922fc4a,0.0,0.0,0.8,3.77
00c1f3a9-40d3-55c4-9ad0-2f48ecfdba37,0.017272727272727276,0.8050000000000002,0.7710526315789472,2.9178947368421064
00c2fd7c-2697-5f48-8186-c8c08295b30e,0.0,0.0,0.18263157894736848,0.0
